Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
old-soul-020-inkotanyi-cyane-1,Old Soul 020 #Inkotanyi Cyane,"<p><span>This artwork is dedicated to all the Brave Warriors who never stopped fighting for the freedom of our country, you made everything peaceful and strived to make our Rwanda Beautiful. Muri Inkotanyi Cyane✊🏾 #kwibohora</span></p>",Arts Kalima,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts,,Prints With Purpose,true,Size in CM,30x45,Materials,Canvas,,,'10,0.0,,0,deny,manual,86,,true,true,,https://cdn.shopify.com/s/files/1/0628/1304/4980/products/Inkotanyi_bb99405b-06bb-45b9-ac70-5a6b892361e4.jpg?v=1650922927,1,,false,,,,,,,,,,,,,,,,,kg,,,active
old-soul-020-inkotanyi-cyane-1,,,,,,,,,30x45,,Posters,,,'10,0.0,,0,deny,manual,35,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,
old-soul-020-inkotanyi-cyane-1,,,,,,,,,30x45,,Boards/Wood Frames,,,'10,0.0,,0,deny,manual,60,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,
old-soul-020-inkotanyi-cyane-1,,,,,,,,,48x60,,Canvas,,,'10,0.0,,0,deny,manual,150,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,
old-soul-020-inkotanyi-cyane-1,,,,,,,,,48x60,,Posters,,,'10,0.0,,0,deny,manual,65,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,
old-soul-020-inkotanyi-cyane-1,,,,,,,,,48x60,,Boards/Wood Frames,,,'10,0.0,,0,deny,manual,90,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,
old-soul-020-inkotanyi-cyane-1,,,,,,,,,76x60,,Canvas,,,'8,0.0,,0,deny,manual,220,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,
old-soul-020-inkotanyi-cyane-1,,,,,,,,,76x60,,Posters,,,'8,0.0,,0,deny,manual,83,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,
old-soul-020-inkotanyi-cyane-1,,,,,,,,,76x60,,Boards/Wood Frames,,,'8,0.0,,0,deny,manual,110,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,
old-soul-020-inkotanyi-cyane-1,,,,,,,,,100x80,,Canvas,,,'10,0.0,,0,deny,manual,350,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,
